filename,source_url,number_of_records,data_schema,status,last_updated
"dedup_noon_baby_products_baby_transport_car_seats_(2026_02_12_00_06_00).csv","https://www.noon.com/uae-en/baby-products/baby-transport/car-seats/","755","sku:755|catalog_sku:755|offer_code:755|name:755|brand:416|url_slug:755|product_url:755|price:755|sale_price:572|was_price:0|discount_percentage:572|image_1:755|image_1_key:755|image_2:716|image_2_key:716|image_3:693|image_3_key:693|image_4:657|image_4_key:657|image_5:594|image_5_key:594|image_6:507|image_6_key:507|image_7:364|image_7_key:364|image_8:245|image_8_key:245|image_9:161|image_9_key:161|image_10:125|image_10_key:125|rating:0|reviews:0|rating_value:194|rating_count:194|availability:0|is_buyable:755|is_out_of_stock:0|stock_quantity:0|is_bestseller:755|is_express:0|is_fashion:0|flags:755|flags_count:755|deal_tag_text:227|deal_tag_color:0|discount_tag_code:755|discount_tag_title:755|nudges:556|nudges_count:755|nudge_1_text:556|nudge_1_type:0|delivery_label:0|estimated_delivery_date:359|express_delivery:0|seller_code:0|seller_name:0|sold_by:0|category:0|subcategory:0|catalog_key:0|model_number:0|model_name:0|item_type:0|has_variants:755|variant_count:755|position:0|rank:0|boost:0|parent_sku:0|product_type:0|is_sponsored:0|sponsor_id:0|created_at:0|updated_at:0|extra_sku_config:755|extra_url:755|extra_image_key:755|extra_stock_minimum_quantity:755|extra_show_3d:755|extra_is_collection_eligible:755|extra_is_freebie:755|extra_discount_canonical_url:755|extra_discount_code_display_text:755|extra_discount_tag_detail:755|extra_brand_code:755|extra_best_seller_rank:29|extra_post_atc_url:112|extra_low_stock_nudge_value:1|extra_variant_overlay_url:1","completed","2026-02-12 00:06:56"
"dedup_noon_grocery_store_breakfast_foods_oatmeal_26227_noon_supermarket_(2026_02_12_00_06_59).csv","https://www.noon.com/uae-en/grocery-store/breakfast-foods/oatmeal-26227/noon-supermarket/","126","sku:126|catalog_sku:126|offer_code:126|name:126|brand:108|url_slug:126|product_url:126|price:126|sale_price:59|was_price:0|discount_percentage:59|image_1:126|image_1_key:126|image_2:86|image_2_key:86|image_3:60|image_3_key:60|image_4:39|image_4_key:39|image_5:22|image_5_key:22|image_6:13|image_6_key:13|image_7:10|image_7_key:10|image_8:2|image_8_key:2|image_9:2|image_9_key:2|image_10:1|image_10_key:1|rating:0|reviews:0|rating_value:32|rating_count:32|availability:0|is_buyable:126|is_out_of_stock:0|stock_quantity:0|is_bestseller:126|is_express:0|is_fashion:0|flags:126|flags_count:126|deal_tag_text:5|deal_tag_color:0|discount_tag_code:126|discount_tag_title:126|nudges:70|nudges_count:126|nudge_1_text:70|nudge_1_type:0|delivery_label:0|estimated_delivery_date:67|express_delivery:0|seller_code:0|seller_name:0|sold_by:0|category:0|subcategory:0|catalog_key:0|model_number:0|model_name:0|item_type:0|has_variants:126|variant_count:126|position:0|rank:0|boost:0|parent_sku:0|product_type:0|is_sponsored:0|sponsor_id:0|created_at:0|updated_at:0|extra_sku_config:126|extra_url:126|extra_image_key:126|extra_stock_minimum_quantity:126|extra_show_3d:126|extra_is_collection_eligible:126|extra_is_freebie:126|extra_discount_canonical_url:126|extra_discount_code_display_text:126|extra_discount_tag_detail:126|extra_discount_tag_count:126|extra_brand_code:126|extra_best_seller_rank:15|extra_low_stock_nudge_value:1|extra_post_atc_url:48","completed","2026-02-12 00:07:10"
"dedup_noon_sports_and_outdoors_sports_racquet_sports_16542_tennis_16543_(2026_02_12_00_07_13).csv","https://www.noon.com/uae-en/sports-and-outdoors/sports/racquet-sports-16542/tennis-16543/","1773","sku:1773|catalog_sku:1773|offer_code:1773|name:1773|brand:732|url_slug:1773|product_url:1773|price:1773|sale_price:986|was_price:0|discount_percentage:986|image_1:1773|image_1_key:1773|image_2:1464|image_2_key:1464|image_3:1161|image_3_key:1161|image_4:957|image_4_key:957|image_5:828|image_5_key:828|image_6:635|image_6_key:635|image_7:221|image_7_key:221|image_8:80|image_8_key:80|image_9:35|image_9_key:35|image_10:4|image_10_key:4|rating:0|reviews:0|rating_value:124|rating_count:124|availability:0|is_buyable:1773|is_out_of_stock:0|stock_quantity:0|is_bestseller:1773|is_express:0|is_fashion:0|flags:1773|flags_count:1773|deal_tag_text:231|deal_tag_color:0|discount_tag_code:1768|discount_tag_title:1773|nudges:784|nudges_count:1773|nudge_1_text:784|nudge_1_type:0|delivery_label:0|estimated_delivery_date:713|express_delivery:0|seller_code:0|seller_name:0|sold_by:0|category:0|subcategory:0|catalog_key:0|model_number:0|model_name:0|item_type:0|has_variants:1773|variant_count:1773|position:0|rank:0|boost:0|parent_sku:0|product_type:0|is_sponsored:0|sponsor_id:0|created_at:0|updated_at:0|extra_sku_config:1773|extra_url:1773|extra_image_key:1773|extra_stock_minimum_quantity:1773|extra_show_3d:1773|extra_is_collection_eligible:1773|extra_is_freebie:1773|extra_discount_canonical_url:1768|extra_discount_code_display_text:1768|extra_discount_tag_detail:1768|extra_brand_code:1773|extra_best_seller_rank:32|extra_low_stock_nudge_value:4|extra_variant_overlay_url:40|extra_discount_tag_count:4","completed","2026-02-12 00:09:28"
